age,people,,,first,,second,,first,sec
0,5358,,12 to 15,19746,96.8%,19086,93.6%,655,1315
1,5407,,16+,347121,100.7%,342223,99.3%,,
2,5310,,16 to 49,212712,99.4%,209374,97.8%,1371,4709
3,5386,,50+,134409,103.0%,132849,101.8%,,
4,5660,,50 to 69,90498,96.9%,89598,96.0%,-1830,-930
5,5842,,70+,43911,105.1%,43251,103.5%,-2125,-1465
6,5945,,,,,,,,
7,5715,,too young,67328,,,,,
8,5868,,too young,15.6%,,,,,
9,5673,,,,,,,,
10,5593,,,,,,,,
11,5571,,,,,,,,
12,5312,,,,,,,,
13,5138,,,,,,,,
14,4992,,,,,,,,
15,4959,,,,,,,,
16,4612,,,,,,,,
17,4595,,,,,,,,
18,4846,,,,,,,,
19,5010,,,,,,,,
20,5405,,,,,,,,
21,5833,,,,,,,,
22,6144,,,,,,,,
23,6678,,,,,,,,
24,6704,,,,,,,,
25,6728,,,,,,,,
26,6541,,,,,,,,
27,6649,,,,,,,,
28,6740,,,,,,,,
29,6691,,,,,,,,
30,6924,,,,,,,,
31,7149,,,,,,,,
32,7010,,,,,,,,
33,6974,,,,,,,,
34,7054,,,,,,,,
35,7301,,,,,,,,
36,7178,,,,,,,,
37,7291,,,,,,,,
38,6941,,,,,,,,
39,7037,,,,,,,,
40,6768,,,,,,,,
41,6436,,,,,,,,
42,6267,,,,,,,,
43,5921,,,,,,,,
44,5860,,,,,,,,
45,5669,,,,,,,,
46,5761,,,,,,,,
47,5723,,,,,,,,
48,5754,,,,,,,,
49,5889,,,,,,,,
50,5873,,,,,,,,
51,5468,,,,,,,,
52,5247,,,,,,,,
53,4980,,,,,,,,
54,4754,,,,,,,,
55,4941,,,,,,,,
56,4567,,,,,,,,
57,4697,,,,,,,,
58,4618,,,,,,,,
59,4701,,,,,,,,
60,4511,,,,,,,,
61,4283,,,,,,,,
62,4163,,,,,,,,
63,4036,,,,,,,,
64,3938,,,,,,,,
65,3832,,,,,,,,
66,3553,,,,,,,,
67,3564,,,,,,,,
68,3514,,,,,,,,
69,3428,,,,,,,,
70,3339,,,,,,,,
71,3239,,,,,,,,
72,3240,,,,,,,,
73,3193,,,,,,,,
74,3295,,,,,,,,
75,2694,,,,,,,,
76,2383,,,,,,,,
77,2242,,,,,,,,
78,1978,,,,,,,,
79,1939,,,,,,,,
80,1679,,,,,,,,
81,1590,,,,,,,,
82,1467,,,,,,,,
83,1326,,,,,,,,
84,1246,,,,,,,,
85,1098,,,,,,,,
86,983,,,,,,,,
87,828,,,,,,,,
88,688,,,,,,,,
89,644,,,,,,,,
90,594,,,,,,,,
91,469,,,,,,,,
92,398,,,,,,,,
93,325,,,,,,,,
94,215,,,,,,,,
95,224,,,,,,,,
96,148,,,,,,,,
97,115,,,,,,,,
98,90,,,,,,,,
99,30,,,,,,,,
100,87,,,,,,,,
